id,start,destination,difficulty,blind_paths,blind_input_tokens,blind_output_tokens,link_aware_paths,link_aware_input_tokens,link_aware_output_tokens,external_info_paths,external_info_input_tokens,external_info_output_tokens,tot_paths,tot_input_tokens,tot_output_tokens
Cat_University_1,Cat,University,Hard,,0,0,"[""Cat"", ""Animal"", ""Human"", ""Science"", ""University""]",2531,1934,"[""Cat"", ""Dog"", ""Africa"", ""Nigeria"", ""India"", ""United_States"", ""Education_in_the_United_States"", ""University""]",14124,4519,"[""Cat"", ""Evolution"", ""Science"", ""University""]",7293,5860
God_Apple_1,God,Apple,Hard,,0,0,"[""God"", ""United_States"", ""Computer"", ""Internet"", ""Cloud"", ""Color"", ""Fruit"", ""Apple""]",5033,4136,"[""God"", ""United_States""]",15562,6052,"[""God"", ""Bible"", ""Hebrew_language"", ""English_language"", ""United_States"", ""Agriculture"", ""Fruit"", ""Apple""]",69072,68378
Canada_Pony_1,Canada,Pony,Hard,"[""Canada"", ""Horse"", ""Pony""]",299,306,"[""Canada"", ""French_language""]",8388,10384,"[""Canada"", ""Beaver""]",12942,5041,,0,0
AIDS_Tour_de_France_1,AIDS,Tour_de_France,Hard,"[""AIDS"", ""Human immunodeficiency virus"", ""Human"", ""Human society"", ""Sports"", ""Cycling"", ""Tour de France""]",302,1600,"[""AIDS"", ""France"", ""Paris"", ""Tour_de_France""]",2224,1513,"[""AIDS"", ""France"", ""Paris""]",6497,1573,"[""AIDS"", ""France"", ""Paris"", ""Tour_de_France""]",5581,3414
Cereal_Kurt_Cobain_1,Cereal,Kurt_Cobain,Hard,,0,0,"[""Cereal"", ""United_States"", ""Seattle,_Washington"", ""Nirvana_(band)"", ""Kurt_Cobain""]",3615,1821,"[""Cereal"", ""North_America"", ""United_Kingdom"", ""Iron_Maiden"", ""United_States"", ""Music_of_the_United_States"", ""Nirvana_(band)"", ""Kurt_Cobain""]",13094,5215,,0,0
Christianity_Natalie_Portman_1,Christianity,Natalie_Portman,Hard,"[""Christianity"", ""Religion"", ""Culture"", ""Performing arts"", ""Acting (performing arts)"", ""Award"", ""Academy Awards"", ""Academy Award for Best Actress"", ""Natalie Portman""]",302,1974,"[""Christianity"", ""Jesus""]",5768,4812,"[""Christianity"", ""A_cappella"", ""Renaissance_music""]",13404,7569,"[""Christianity"", ""Middle_East"", ""Israel"", ""Jerusalem"", ""Natalie_Portman""]",21912,16613
Colombia_Menthol_1,Colombia,Menthol,Hard,"[""Colombia"", ""Biodiversity"", ""Biology"", ""Organic chemistry"", ""Monoterpenes"", ""Menthol""]",300,1294,"[""Colombia"", ""United_States""]",7329,6251,,0,0,,0,0
Napoleonic_Wars_Superman_1,Napoleonic_Wars,Superman,Hard,,0,0,"[""Napoleonic_Wars"", ""United_States""]",6382,9488,"[""Napoleonic_Wars"", ""United_States""]",19144,8613,,0,0
Batman_Wikisource_1,Batman,Wikisource,Hard,,0,0,"[""Batman"", ""Superman"", ""World_War_II""]",6514,7236,"[""Batman"", ""Crime"", ""Utilitarianism""]",14581,5881,,0,0
Christianity_Coconut_crab_1,Christianity,Coconut_crab,Hard,,0,0,"[""Christianity"", ""Philippines""]",6499,5511,"[""Christianity"", ""Philippines""]",13767,8317,"[""Christianity"", ""Oceania"", ""Christmas_Island"", ""Coconut_crab""]",5054,5188
David_Beckham_Frog_1,David_Beckham,Frog,Hard,,0,0,,0,0,"[""David_Beckham"", ""France"", ""River"", ""Fresh_water"", ""Fish"", ""Dolphin"", ""Animal"", ""Australian_Green_Tree_Frog"", ""Tree_frog"", ""Frog""]",13058,5019,,0,0
Geometry_Volleyball_1,Geometry,Volleyball,Hard,,0,0,"[""Geometry"", ""Mathematics"", ""Motion_(physics)""]",3904,3162,"[""Geometry"", ""Physics"", ""Engineering"", ""Medicine"", ""Health"", ""Triathlon"", ""Olympic_Games"", ""Football"", ""Volleyball""]",11775,4452,"[""Geometry"", ""Mathematics"", ""Statistics"", ""Education"", ""University"", ""Greece"", ""Olympic_Games"", ""Volleyball""]",53321,38900
Brain_Telephone_2,Brain,Telephone,Medium,"[""Brain"", ""Brain function"", ""Information processing"", ""Communication"", ""Telephone""]",298,1149,"[""Brain"", ""Action_potential"", ""Capacitance"", ""Maxwell's_equations"", ""Electromagnetic_radiation"", ""Electricity"", ""Alexander_Graham_Bell"", ""Telephone""]",3540,2970,"[""Brain"", ""Chordate"", ""Bird"", ""Human"", ""Communication"", ""Telephone""]",7429,2119,"[""Brain"", ""Mind"", ""History_of_science"", ""Telecommunication"", ""Telephone""]",10296,6450
Theatre_Zebra_2,Theatre,Zebra,Medium,"[""Theatre"", ""Museum"", ""Zoo"", ""Animal"", ""Mammal"", ""Equidae"", ""Equus"", ""Zebra""]",300,1199,"[""Theatre"", ""Music"", ""Art"", ""Painting"", ""Color"", ""Aristotle"", ""Biology"", ""Animal"", ""Mammal"", ""Zebra""]",4993,6430,"[""Theatre"", ""Paris"", ""Garden"", ""Bird"", ""Animal"", ""Mammal"", ""Zebra""]",9727,3072,,0,0
Asteroid_Viking_2,Asteroid,Viking,Medium,"[""Asteroid"", ""Spacecraft"", ""NASA"", ""Mars"", ""Viking (rocket)""]",300,1617,"[""Asteroid"", ""Mars""]",5076,5556,,0,0,"[""Asteroid"", ""Mars"", ""Mars_Exploration_Rover"", ""Geology"", ""Plate_tectonics"", ""Iceland"", ""Viking""]",23517,25909
Batman_Wood_2,Batman,Wood,Medium,,0,0,,0,0,"[""Batman"", ""Chemistry"", ""Carbon"", ""Earth"", ""Soil"", ""Forest"", ""Tree"", ""Wood""]",10143,3186,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Wood""]",9852,9281
Beer_Sun_2,Beer,Sun,Medium,,0,0,"[""Beer"", ""Ethanol"", ""Oxygen"", ""Earth's_atmosphere"", ""Ultraviolet"", ""Sun""]",2696,3242,"[""Beer"", ""Water"", ""Sun""]",3630,942,"[""Beer"", ""Ethanol"", ""Hydrogen"", ""Sun""]",4421,3982
Batman_Banana_2,Batman,Banana,Medium,"[""Batman"", ""Bruce Wayne"", ""Wayne Enterprises"", ""New York City"", ""United States"", ""Agriculture"", ""Fruits"", ""Banana""]",299,1769,"[""Batman"", ""Chemistry"", ""Water"", ""Agriculture"", ""Fruit"", ""Banana""]",3061,2342,"[""Batman"", ""Spring_Heeled_Jack""]",14597,5897,"[""Batman"", ""Chemistry"", ""Biology"", ""Botany"", ""Fruit"", ""Banana""]",17044,15033
Cat_Computer_2,Cat,Computer,Medium,"[""Cat"", ""Felis catus"", ""Felis"", ""Felidae"", ""Panthera tigris"", ""Tiger (Mac\u202fOS)"", ""Mac OS"", ""Apple Computer"", ""Computer""]",298,1663,"[""Cat"", ""Animal"", ""Human"", ""Technology"", ""Computer""]",2487,2609,"[""Cat"", ""Sound"", ""Matter"", ""Science"", ""World_Wide_Web"", ""Internet"", ""Linux"", ""Unix"", ""Microsoft"", ""Computer""]",11662,3755,"[""Cat"", ""Color"", ""Physics"", ""Computer""]",5210,4843
Cat_Microsoft_2,Cat,Microsoft,Medium,,0,0,"[""Cat"", ""Mammal"", ""20th_century"", ""Computer"", ""Microsoft_Windows"", ""Microsoft""]",2858,2833,"[""Cat"", ""Color"", ""Fruit"", ""Wine"", ""Apple"", ""Europe"", ""Germany"", ""Internet"", ""Microsoft""]",14072,5247,"[""Cat"", ""Mammal"", ""20th_century"", ""Computer"", ""Internet"", ""Microsoft""]",28901,21052
Dog_Telephone_2,Dog,Telephone,Medium,"[""Dog"", ""Animal"", ""Animal husbandry"", ""Production farming"", ""Agriculture"", ""Crop"", ""Plant"", ""Biology"", ""Science"", ""Technology"", ""Telecommunications"", ""Telephone""]",298,1183,"[""Dog"", ""English_language"", ""Language"", ""Communication"", ""Telephone""]",2421,2237,"[""Dog"", ""DNA"", ""Plant""]",17355,7350,"[""Dog"", ""English_language"", ""United_Kingdom"", ""Computer"", ""Telephone""]",11851,9565
Dog_Venus_2,Dog,Venus,Medium,"[""Dog"", ""Domestic dog"", ""Canine"", ""Mammal"", ""Vertebrate"", ""Animal"", ""Life"", ""Biology"", ""Science"", ""Astronomy"", ""Solar System"", ""Venus""]",299,700,"[""Dog"", ""Animal"", ""Organism"", ""Carbon"", ""Earth"", ""Solar_System"", ""Planet"", ""Venus""]",4430,4643,"[""Dog"", ""Bonobo"", ""Insect"", ""Amber"", ""Aristotle"", ""Astronomy"", ""Planet"", ""Solar_System"", ""Venus""]",12954,5386,"[""Dog"", ""Animal"", ""Carbon_dioxide"", ""Greenhouse_effect"", ""Venus""]",15112,17377
Aluminium_chloride_Parrot_2,Aluminium_chloride,Parrot,Medium,,0,0,"[""Aluminium_chloride"", ""Chlorine"", ""Water"", ""Fresh_water"", ""Earth"", ""Animal"", ""Bird"", ""Parrot""]",4405,5279,"[""Aluminium_chloride"", ""Aluminium"", ""Australia""]",15155,6318,"[""Aluminium_chloride"", ""Salt"", ""Color"", ""Bird"", ""Parrot""]",11911,14489
Batman_Bible_2,Batman,Bible,Medium,"[""Batman"", ""DC Comics"", ""Comics"", ""Comic books"", ""Art"", ""Culture"", ""Religion"", ""Bible""]",298,388,"[""Batman"", ""Earthquake"", ""United_Kingdom"", ""Church_of_England"", ""Anglicanism"", ""Christianity"", ""Jesus"", ""Bible""]",4822,2421,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",3932,882,"[""Batman"", ""Crime"", ""Religion"", ""Bible""]",3999,2469
England_God_2,England,God,Medium,"[""England"", ""Church of England"", ""Christianity"", ""God""]",298,320,"[""England"", ""Christianity"", ""Bible"", ""God""]",2415,1766,"[""England"", ""Christianity"", ""Jesus"", ""God""]",5775,1654,"[""England"", ""Hinduism"", ""God""]",3639,1460
Art_Mango_2,Art,Mango,Medium,"[""Art"", ""Still life"", ""Fruit"", ""Mango""]",299,570,"[""Art"", ""Painting"", ""Color"", ""Fruit"", ""Mango""]",2380,2695,"[""Art"", ""Sultan"", ""Malwa_(Madhya_Pradesh)"", ""Peanut"", ""Cultivar"", ""Plant"", ""Fruit"", ""Mango""]",10396,3897,"[""Art"", ""Australia"", ""Asia"", ""India"", ""Mango""]",10490,10115
14th_century_Rainbow_2,14th_century,Rainbow,Medium,"[""14th_century"", ""Medieval_Europe"", ""Science_and_technology_in_medieval_Europe"", ""Alchemy"", ""Chemistry"", ""Physics"", ""Light"", ""Spectrum"", ""Rainbow""]",301,1965,"[""14th_century"", ""Renaissance""]",4040,3889,"[""14th_century"", ""Abacus"", ""Japan"", ""United_States"", ""United_Kingdom"", ""Lion"", ""Elephant"", ""Eye"", ""Color"", ""Rainbow""]",16120,7401,"[""14th_century"", ""Renaissance"", ""Art"", ""Color"", ""Rainbow""]",7896,5881
Electricity_God_2,Electricity,God,Medium,"[""Electricity"", ""Electrical engineering"", ""Engineering"", ""Technology"", ""Science"", ""Religion"", ""God""]",299,872,"[""Electricity"", ""Physics"", ""Universe"", ""History"", ""Society"", ""Culture"", ""Religion"", ""God""]",4079,2567,"[""Electricity"", ""Heat"", ""Matter"", ""Science"", ""Philosophy"", ""Religion"", ""God""]",9639,2213,"[""Electricity"", ""Physics"", ""Philosophy"", ""Religion"", ""God""]",9806,7481
Archbishop_of_Canterbury_Vietnam_2,Archbishop_of_Canterbury,Vietnam,Medium,"[""Archbishop_of_Canterbury"", ""Church_of_England"", ""Anglican_Communion"", ""Anglican_Church_of_Vietnam"", ""Vietnam""]",303,685,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""Vietnam""]",2221,1247,"[""Archbishop_of_Canterbury"", ""England"", ""France"", ""China"", ""Laos"", ""Vietnam""]",9250,2045,"[""Archbishop_of_Canterbury"", ""Roman_Catholic_Church"", ""Asia"", ""Vietnam""]",8000,6787
Batman_Vitamin_D_2,Batman,Vitamin_D,Medium,,0,0,"[""Batman"", ""Chemistry"", ""Medicine"", ""Health"", ""Nutrition"", ""Vitamin_D""]",2557,1732,"[""Batman"", ""Chemistry""]",13840,4558,"[""Batman"", ""Superman"", ""Sun"", ""Sunlight"", ""Vitamin_D""]",8805,8161
China_Moon_2,China,Moon,Medium,"[""China"", ""Chinese space program"", ""Lunar exploration"", ""Moon""]",298,655,"[""China"", ""United_States"", ""Apollo_11"", ""Moon""]",3266,1999,"[""China"", ""United_States"", ""Neil_Armstrong"", ""Apollo_11"", ""Moon""]",8015,1862,"[""China"", ""United_States"", ""Apollo_11"", ""Moon""]",5669,2959
Achilles_tendon_Ivory_2,Achilles_tendon,Ivory,Medium,,0,0,"[""Achilles_tendon"", ""Latin"", ""Roman_Empire"", ""Africa""]",4449,4153,"[""Achilles_tendon"", ""Achilles"", ""Ethiopia""]",11424,3679,,0,0
Pyramid_Bean_2,Pyramid,Bean,Hard,"[""Pyramid"", ""Egyptian pyramids"", ""Egypt"", ""Agriculture in Egypt"", ""Legumes"", ""Bean""]",299,1957,"[""Pyramid"", ""Mexico"", ""Aztec"", ""Cocoa"", ""Seed"", ""Bean""]",2588,5235,"[""Pyramid"", ""United_States"", ""Agriculture"", ""Soybean"", ""Peanut"", ""Seed"", ""Bean""]",10820,3677,,0,0
Aircraft_Google_2,Aircraft,Google,Hard,"[""Aircraft"", ""Aviation"", ""Technology"", ""Internet"", ""Google""]",298,524,"[""Aircraft"", ""Jet_engine"", ""Wright_brothers"", ""Washington,_D.C."", ""United_States"", ""Internet"", ""World_Wide_Web"", ""Google""]",5016,4268,"[""Aircraft"", ""Russia""]",11399,3420,"[""Aircraft"", ""Airbus_A380"", ""United_States_dollar"", ""United_States"", ""Advertising"", ""Google""]",25749,22323
Computer_Fruit_2,Computer,Fruit,Hard,"[""Computer"", ""Apple Inc."", ""Apple (fruit)"", ""Fruit""]",298,565,"[""Computer"", ""Electronics"", ""Color"", ""Fruit""]",1428,1961,"[""Computer"", ""Automobile"", ""Oxygen"", ""Plant"", ""Fruit""]",6433,1971,"[""Computer"", ""Internet"", ""Advertising"", ""United_States"", ""Agriculture"", ""Fruit""]",17232,18135
Batman_Penguin_2,Batman,Penguin,Hard,"[""Batman"", ""Penguin (character)""]",299,1357,"[""Batman"", ""Crime"", ""United_States"", ""Antarctica"", ""Penguin""]",3536,2496,"[""Batman"", ""Crime""]",10982,3646,"[""Batman"", ""Superman"", ""United_States"", ""Antarctica"", ""Penguin""]",13225,11679
Calculus_Lemon_2,Calculus,Lemon,Hard,"[""Calculus"", ""Science"", ""Chemistry"", ""Biochemistry"", ""Biology"", ""Botany"", ""Fruit"", ""Citrus"", ""Lemon""]",300,1647,"[""Calculus"", ""Biology"", ""Plant"", ""Fruit"", ""Citrus"", ""Lemon""]",2788,1703,"[""Calculus"", ""Business"", ""Corporation"", ""Ancient_Rome"", ""Silver"", ""Color"", ""Fruit"", ""Citrus"", ""Lemon""]",12629,3955,"[""Calculus"", ""Biology"", ""Botany"", ""Fruit"", ""Citrus"", ""Lemon""]",16980,15537
George_W._Bush_Monkey_2,George_W._Bush,Monkey,Hard,"[""George_W._Bush"", ""Bush_family"", ""George_H._W._Bush"", ""United_States"", ""Science_and_technology_in_the_United_States"", ""Biology"", ""Animals"", ""Mammals"", ""Primates"", ""Monkey""]",301,1988,"[""George_W._Bush"", ""United States""]",819,681,"[""George_W._Bush"", ""United_States"", ""Guinea""]",17443,5030,"[""George_W._Bush"", ""United States""]",819,738
Batman_Coconut_crab_2,Batman,Coconut_crab,Hard,"[""Batman"", ""Bat"", ""Bat (animal)"", ""Animal"", ""Crustacean"", ""Crab"", ""Coconut_crab""]",301,1243,"[""Batman"", ""Superman"", ""United_States""]",6838,4393,"[""Batman"", ""Spring_Heeled_Jack"", ""Nature"", ""Animal"", ""Spider"", ""Invertebrate"", ""Arthropod"", ""Coconut_crab""]",9030,4706,"[""Batman"", ""Crime"", ""Family"", ""Anthropology"", ""Evolution"", ""Arthropod"", ""Coconut_crab""]",45831,44036
Batman_Peanut_2,Batman,Peanut,Hard,,0,0,,0,0,"[""Batman"", ""Superman"", ""Seinfeld"", ""Television"", ""Sound"", ""Bat"", ""Seed"", ""Peanut""]",8361,3766,,0,0
Cat_University_2,Cat,University,Hard,,0,0,"[""Cat"", ""Mammal"", ""Human"", ""Anthropology"", ""Humanities"", ""History"", ""University_of_Cambridge"", ""University""]",4372,3535,"[""Cat"", ""Dog""]",18016,6848,"[""Cat"", ""Evolution"", ""Science"", ""University""]",7403,5596
God_Apple_2,God,Apple,Hard,"[""God"", ""Religion"", ""Christianity"", ""Bible"", ""Genesis (book)"", ""Creation of Adam"", ""Garden of Eden"", ""Tree of the knowledge of good and evil"", ""Apple (fruit)""]",298,1146,"[""God"", ""Christianity"", ""Religion"", ""Isaac_Newton"", ""Gravitation"", ""Motion_(physics)"", ""Physics"", ""Biology"", ""Botany"", ""Fruit"", ""Apple""]",5951,5184,"[""God"", ""United_States"", ""Electronics""]",12429,4212,"[""God"", ""Nature"", ""Plant"", ""Tree"", ""Apple""]",12374,10191
Canada_Pony_2,Canada,Pony,Hard,"[""Canada"", ""Horse racing"", ""Horse"", ""Pony""]",299,1036,"[""Canada"", ""United_States"", ""Agriculture"", ""Horse"", ""Pony""]",3980,3297,"[""Canada"", ""Beaver"", ""Animal"", ""Mammal"", ""Horse"", ""Pony""]",8317,2790,,0,0
AIDS_Tour_de_France_2,AIDS,Tour_de_France,Hard,"[""AIDS"", ""France"", ""Tour_de_France""]",302,1784,"[""AIDS"", ""France""]",3216,2060,"[""AIDS"", ""France"", ""French_language"", ""Paris"", ""Tour_de_France""]",7278,2938,"[""AIDS"", ""France"", ""Paris"", ""Tour_de_France""]",5372,4116
Cereal_Kurt_Cobain_2,Cereal,Kurt_Cobain,Hard,"[""Cereal"", ""Food"", ""Food culture"", ""American culture"", ""Music genres"", ""Grunge"", ""Kurt Cobain""]",303,775,"[""Cereal"", ""United States""]",530,370,,0,0,"[""Cereal"", ""United_States"", ""American_popular_music"", ""Nirvana_(band)"", ""Kurt_Cobain""]",12352,8753
Christianity_Natalie_Portman_2,Christianity,Natalie_Portman,Hard,"[""Christianity"", ""Christianity and film"", ""Film awards"", ""Academy Award"", ""Academy Award for Best Actress"", ""Black Swan"", ""Natalie Portman""]",302,1553,"[""Christianity"", ""Jesus"", ""Bible""]",4592,4951,"[""Christianity"", ""Paul_of_Tarsus""]",18006,6460,"[""Christianity"", ""Jew"", ""Israel"", ""Jerusalem"", ""Natalie_Portman""]",12230,8467
Colombia_Menthol_2,Colombia,Menthol,Hard,,0,0,,0,0,"[""Colombia"", ""Andes""]",9326,4876,,0,0
Napoleonic_Wars_Superman_2,Napoleonic_Wars,Superman,Hard,"[""Napoleonic_Wars"", ""France"", ""United_States"", ""American_comics"", ""Superman""]",303,1034,"[""Napoleonic_Wars"", ""France"", ""United_States""]",7032,7426,"[""Napoleonic_Wars"", ""France"", ""United_States""]",12258,4603,"[""Napoleonic_Wars"", ""United_States"", ""Television"", ""Sound"", ""Bat"", ""Batman"", ""Superman""]",26827,25041
Batman_Wikisource_2,Batman,Wikisource,Hard,"[""Batman"", ""DC Comics"", ""Wikimedia Commons"", ""Wikimedia Foundation"", ""Wikimedia projects"", ""Wikisource""]",300,1446,,0,0,"[""Batman"", ""Spring_Heeled_Jack"", ""Fiction"", ""Literature"", ""Publishing"", ""Wikipedia"", ""Wikimedia_Foundation"", ""Wikisource""]",8976,3958,,0,0
Christianity_Coconut_crab_2,Christianity,Coconut_crab,Hard,,0,0,"[""Christianity"", ""Oceania""]",5352,7425,"[""Christianity"", ""Philippines"", ""Puerto_Rico""]",8764,4109,"[""Christianity"", ""Middle_East"", ""Indian_Ocean"", ""Maldives"", ""Fishing"", ""Crustacean"", ""Arthropod"", ""Coconut_crab""]",57071,58143
David_Beckham_Frog_2,David_Beckham,Frog,Hard,,0,0,"[""David_Beckham"", ""Football_(soccer)"", ""Japan"", ""Culture"", ""Evolution"", ""Vertebrate"", ""Fish"", ""Chordate"", ""Animal"", ""Australian_Green_Tree_Frog"", ""Frog""]",5421,5486,"[""David_Beckham"", ""Israel""]",13903,4815,,0,0
Geometry_Volleyball_2,Geometry,Volleyball,Hard,"[""Geometry"", ""Sphere"", ""Ball"", ""Volleyball""]",299,1170,"[""Geometry"", ""Mathematics"", ""Game_theory"", ""Sociology"", ""Society"", ""History"", ""Athens"", ""Olympic_Games"", ""Volleyball""]",4676,4487,"[""Geometry"", ""Physics"", ""Force"", ""Bicycle"", ""Sport"", ""Olympic_Games"", ""Basketball"", ""Volleyball""]",10745,2986,"[""Geometry"", ""Physics"", ""Science"", ""United_States"", ""Olympic_Games"", ""Volleyball""]",22703,17303
